Original_Row_Index,Inorganic phosphor,Host,1st dopant,Reference,MP-ID,ICSD-ID,CV_Fold,Emission max. (nm)
1898,KCa0.9GdP2O8Eu0.1,KCa0.9GdP2O8,Eu,https://doi.org/10.1039/C3RA40471D,,,8,462.0
1899,Ca8.99CeP7O28Eu0.01,Ca8.99CeP7O28,Eu,https://doi.org/10.1039/C6CP05490K,,,10,377.0
1900,Ca8.98CeP7O28Eu0.02,Ca8.98CeP7O28,Eu,https://doi.org/10.1039/C6CP05490K,,,1,377.0
1901,Ca8.96CeP7O28Eu0.04,Ca8.96CeP7O28,Eu,https://doi.org/10.1039/C6CP05490K,,,4,377.0
1902,Ca8.94CeP7O28Eu0.06,Ca8.94CeP7O28,Eu,https://doi.org/10.1039/C6CP05490K,,,7,377.0
1903,Ca8.92CeP7O28Eu0.08,Ca8.92CeP7O28,Eu,https://doi.org/10.1039/C6CP05490K,,,6,377.0
1904,Ca8.9CeP7O28Eu0.1,Ca8.9CeP7O28,Eu,https://doi.org/10.1039/C6CP05490K,,,2,502.0
1905,Ca8.88CeP7O28Eu0.12,Ca8.88CeP7O28,Eu,https://doi.org/10.1039/C6CP05490K,,,5,502.0
1906,Ca8.86CeP7O28Eu0.14,Ca8.86CeP7O28,Eu,https://doi.org/10.1039/C6CP05490K,,,9,502.0
1907,Ca8.99CeP7O28Mn0.01,Ca8.99CeP7O28,Mn,https://doi.org/10.1039/C6CP05490K,,,3,377.0
1908,Ca8.96CeP7O28Mn0.04,Ca8.96CeP7O28,Mn,https://doi.org/10.1039/C6CP05490K,,,9,377.0
1909,Ca8.92CeP7O28Mn0.08,Ca8.92CeP7O28,Mn,https://doi.org/10.1039/C6CP05490K,,,6,377.0
1910,Ca8.84CeP7O28Mn0.16,Ca8.84CeP7O28,Mn,https://doi.org/10.1039/C6CP05490K,,,1,377.0
1911,Ca8.75CeP7O28Mn0.25,Ca8.75CeP7O28,Mn,https://doi.org/10.1039/C6CP05490K,,,8,377.0
